|    x     |    y     |zx |nx |zy |ny | f |no |   out    |zr |ng |
| 00001010 | 00111111 | 1 | 0 | 1 | 0 | 1 | 0 | 00000000 | 1 | 0 |
| 00001010 | 00111111 | 1 | 1 | 1 | 1 | 1 | 1 | 00000001 | 1 | 0 |
| 00001010 | 00111111 | 1 | 1 | 1 | 0 | 1 | 0 | 11111111 | 1 | 1 |
| 00001010 | 00111111 | 0 | 0 | 1 | 1 | 0 | 0 | 00001010 | 1 | 0 |
| 00001010 | 00111111 | 1 | 1 | 0 | 0 | 0 | 0 | 00111111 | 1 | 0 |
| 00001010 | 00111111 | 0 | 0 | 1 | 1 | 0 | 1 | 11110101 | 1 | 1 |
| 00001010 | 00111111 | 1 | 1 | 0 | 0 | 0 | 1 | 11000000 | 1 | 1 |
| 00001010 | 00111111 | 0 | 0 | 1 | 1 | 1 | 1 | 11110110 | 1 | 1 |
| 00001010 | 00111111 | 1 | 1 | 0 | 0 | 1 | 1 | 11000001 | 1 | 1 |
| 00001010 | 00111111 | 0 | 1 | 1 | 1 | 1 | 1 | 00001011 | 1 | 0 |
| 00001010 | 00111111 | 1 | 1 | 0 | 1 | 1 | 1 | 01000000 | 1 | 0 |
| 00001010 | 00111111 | 0 | 0 | 1 | 1 | 1 | 0 | 00001001 | 1 | 0 |
| 00001010 | 00111111 | 1 | 1 | 0 | 0 | 1 | 0 | 00111110 | 1 | 0 |
| 00001010 | 00111111 | 0 | 0 | 0 | 0 | 1 | 0 | 01001001 | 1 | 0 |
| 00001010 | 00111111 | 0 | 1 | 0 | 0 | 1 | 1 | 11001011 | 1 | 1 |
| 00001010 | 00111111 | 0 | 0 | 0 | 1 | 1 | 1 | 00110101 | 1 | 0 |
| 00001010 | 00111111 | 0 | 0 | 0 | 0 | 0 | 0 | 00001010 | 1 | 0 |
| 00001010 | 00111111 | 0 | 1 | 0 | 1 | 0 | 1 | 00111111 | 1 | 0 |
